job_id,job_title,domain,role_category,experience_level,skills_required,job_description,location,salary_range
167,ESD Protection Engineer,Hardware,VLSI,Mid,"ESD Protection,Latchup,HBM,CDM,Layout",Design ESD protection circuits for ICs. Analyze latchup and ESD failure modes. Verify protection coverage for all pins.,Bangalore,9-15 LPA
168,WordPress Developer,Software,Backend,Entry,"PHP,WordPress,MySQL,JavaScript,CSS",Develop custom WordPress themes and plugins. Optimize website performance and security. Integrate third-party APIs and payment gateways.,Hyderabad,4-6 LPA
169,Senior React Developer,Software,Frontend,Senior,"React,TypeScript,Next.js,GraphQL,Tailwind CSS",Lead frontend development for enterprise applications. Implement complex UI components and state management. Optimize performance and code splitting.,Chennai,10-16 LPA
170,Flask Developer,Software,Backend,Entry,"Python,Flask,SQLAlchemy,PostgreSQL,REST",Build lightweight web applications using Flask. Implement blueprints and extensions. Create API endpoints and templates.,Bangalore,4-6 LPA
171,Senior Backend Developer,Software,Backend,Mid,"Java,Microservices,Cassandra,Kafka,Spring Cloud",Architect distributed systems for high-traffic applications. Design event-driven architectures. Implement circuit breakers and resilience patterns.,Noida,13-19 LPA
172,Senior DevOps Engineer,Software,DevOps,Entry,"Azure,Kubernetes,Ansible,Python,GitLab CI",Architect cloud infrastructure for enterprise applications. Implement infrastructure as code and monitoring solutions. Lead DevOps transformation initiatives.,Bangalore,4-6 LPA
173,Struts Developer,Software,Backend,Senior,"Java,Struts,JSP,Hibernate,MySQL",Maintain legacy web applications built with Struts. Implement MVC patterns and action mappings. Integrate with ORM frameworks.,Hyderabad,7-12 LPA
174,Impedance Matching Engineer,Hardware,PCB Design,Entry,"RF Design,Smith Chart,Matching Networks,ADS,Testing",Design impedance matching circuits for RF systems. Optimize power transfer and minimize reflections. Validate matching network performance.,Bangalore,6-12 LPA
175,RF Hardware Engineer,Hardware,Embedded Systems,Mid,"RF Design,Antenna Design,ADS,Network Analyzer,PCB",Design radio frequency circuits for communication devices. Perform impedance matching and antenna tuning. Test RF performance and EMC compliance.,Bangalore,10-16 LPA
176,Backend Developer - Node.js,Software,Backend,Senior,"Node.js,Express,PostgreSQL,Redis,GraphQL",Build scalable APIs for mobile and web applications. Implement caching strategies and rate limiting. Write comprehensive unit and integration tests.,Noida,8-14 LPA
177,Redshift Developer,Software,Data Engineer,Senior,"AWS Redshift,SQL,Data Modeling,Performance Tuning,ETL",Develop data warehouse solutions on Redshift. Optimize table distribution and sort keys. Implement workload management.,Hyderabad,11-17 LPA
178,Touch Controller Engineer,Hardware,Firmware Engineer,Mid,"Capacitive Touch,I2C,Signal Processing,C,Tuning",Develop firmware for touch controller ICs. Implement noise filtering and gesture recognition. Tune sensitivity for different applications.,Pune,8-14 LPA
179,MongoDB Developer,Software,Backend,Entry,"MongoDB,Node.js,Express,Mongoose,REST",Design NoSQL database schemas for applications. Implement aggregation pipelines and indexing. Optimize query performance.,Bangalore,4-6 LPA
180,Gate Driver Design Engineer,Hardware,Electrical Systems,Senior,"Gate Drivers,MOSFET,IGBT,Bootstrap,Deadtime",Design gate driver circuits for power switches. Implement deadtime control and protection. Test switching characteristics and losses.,Pune,9-15 LPA
181,CakePHP Developer,Software,Backend,Entry,"PHP,CakePHP,MySQL,MVC,REST",Develop web applications using CakePHP framework. Implement ORM and database migrations. Create RESTful API endpoints.,Bangalore,6-12 LPA
182,Golang Developer,Software,Backend,Senior,"Go,PostgreSQL,gRPC,Docker,Microservices",Build concurrent backend services in Go. Implement efficient data structures and algorithms. Deploy containerized applications.,Noida,10-16 LPA
183,Impedance Matching Engineer,Hardware,PCB Design,Entry,"RF Design,Smith Chart,Matching Networks,ADS,Testing",Design impedance matching circuits for RF systems. Optimize power transfer and minimize reflections. Validate matching network performance.,Bangalore,4-6 LPA
184,ETL Developer,Software,Data Engineer,Mid,"SQL,SSIS,Python,Oracle,Data Warehousing",Design and develop ETL processes for data integration. Transform and load data from multiple sources. Monitor and troubleshoot data pipeline failures.,Hyderabad,8-14 LPA
185,Stream Processing Engineer,Software,Data Engineer,Mid,"Kafka,Flink,Scala,Event Streaming,Microservices",Build real-time data processing pipelines. Implement stream processing applications. Ensure exactly-once processing guarantees.,Noida,12-18 LPA
186,Hadoop Developer,Software,Data Engineer,Mid,"Hadoop,MapReduce,Hive,Java,HDFS",Develop MapReduce jobs for big data processing. Optimize Hive queries and partitioning strategies. Manage HDFS storage and replication.,Bangalore,10-16 LPA
187,FPGA Design Engineer,Hardware,VLSI,Senior,"VHDL,Xilinx,Vivado,Timing Constraints,FPGA",Develop FPGA-based solutions for signal processing. Implement high-speed digital designs and IP cores. Perform simulation and hardware validation.,Chennai,10-16 LPA
188,Golang Developer,Software,Backend,Senior,"Go,PostgreSQL,gRPC,Docker,Microservices",Build concurrent backend services in Go. Implement efficient data structures and algorithms. Deploy containerized applications.,Noida,10-16 LPA
189,Mixed Signal Design Engineer,Hardware,VLSI,Senior,"Analog Design,Digital Design,Cadence,Layout,Characterization",Design mixed-signal ICs for sensor interfaces. Perform transistor-level circuit design. Collaborate with layout team for analog blocks.,Hyderabad,11-17 LPA
190,Gate Driver Design Engineer,Hardware,Electrical Systems,Senior,"Gate Drivers,MOSFET,IGBT,Bootstrap,Deadtime",Design gate driver circuits for power switches. Implement deadtime control and protection. Test switching characteristics and losses.,Pune,9-15 LPA
191,Express.js Developer,Software,Backend,Mid,"Node.js,Express,MongoDB,JWT,REST",Build RESTful APIs using Express framework. Implement middleware and error handling. Integrate authentication and session management.,Bangalore,7-13 LPA
192,Vue.js Full Stack Developer,Software,Full Stack,Entry,"Vue.js,Node.js,MySQL,Express,AWS",Develop full-stack applications using Vue ecosystem. Implement server-side rendering and routing. Deploy to cloud platforms.,Hyderabad,4-6 LPA
193,Struts Developer,Software,Backend,Senior,"Java,Struts,JSP,Hibernate,MySQL",Maintain legacy web applications built with Struts. Implement MVC patterns and action mappings. Integrate with ORM frameworks.,Hyderabad,7-12 LPA
194,Data Engineer,Software,Data Engineer,Entry,"Python,Spark,Hadoop,SQL,Airflow",Build and maintain data pipelines for analytics platform. Process large-scale datasets and optimize ETL workflows. Ensure data quality and implement data governance policies.,Bangalore,4-6 LPA
195,DFT Engineer,Hardware,VLSI,Mid,"Scan Insertion,ATPG,Boundary Scan,Tetramax,MBIST",Implement design-for-test structures in ASIC designs. Generate test patterns and analyze coverage. Debug scan chain failures and timing issues.,Bangalore,9-15 LPA
196,React Full Stack Developer,Software,Full Stack,Mid,"React,Node.js,Express,MongoDB,GraphQL",Develop MERN stack applications for startups. Implement real-time features using WebSockets. Optimize application performance and SEO.,Hyderabad,8-14 LPA
197,Frontend Developer,Software,Frontend,Entry,"React,JavaScript,HTML,CSS,Redux",Build responsive and intuitive user interfaces for web applications. Implement pixel-perfect designs and ensure cross-browser compatibility. Work closely with UX designers to enhance user experience.,Hyderabad,4-6 LPA
198,Cloud Backend Developer,Software,Backend,Mid,"Python,FastAPI,AWS Lambda,DynamoDB,S3",Build serverless applications on AWS cloud platform. Design event-driven architectures and API gateways. Implement security best practices and cost optimization.,Hyderabad,11-17 LPA
199,Kubernetes Engineer,Software,DevOps,Mid,"Kubernetes,Helm,Docker,Linux,Networking",Manage and optimize Kubernetes clusters for production workloads. Implement service mesh and ingress controllers. Troubleshoot cluster issues and performance.,Bangalore,11-17 LPA
200,Hardware Test Engineer,Hardware,PCB Design,Mid,"Oscilloscope,Multimeter,Python,LabVIEW,Test Automation",Design and execute hardware validation test plans. Develop automated test scripts and fixtures. Document test results and failure analysis.,Noida,6-11 LPA
201,Touch Controller Engineer,Hardware,Firmware Engineer,Mid,"Capacitive Touch,I2C,Signal Processing,C,Tuning",Develop firmware for touch controller ICs. Implement noise filtering and gesture recognition. Tune sensitivity for different applications.,Pune,8-14 LPA
202,Flutter Developer,Software,Frontend,Entry,"Flutter,Dart,Firebase,REST API,Provider",Develop cross-platform mobile apps using Flutter framework. Implement beautiful UI designs and animations. Integrate backend services and local storage.,Pune,4-6 LPA
203,Senior Data Engineer,Software,Data Engineer,Entry,"Python,AWS Glue,Redshift,dbt,SQL",Design data warehousing solutions on AWS platform. Implement data modeling and transformation logic. Optimize query performance for analytics workloads.,Bangalore,4-6 LPA
204,ASIC Verification Engineer,Hardware,VLSI,Mid,"SystemVerilog,UVM,Python,Cadence,Coverage",Verify SoC designs for semiconductor products. Create verification plans and regression frameworks. Analyze coverage and close verification gaps.,Hyderabad,11-17 LPA
205,ASIC Verification Engineer,Hardware,VLSI,Mid,"SystemVerilog,UVM,Python,Cadence,Coverage",Verify SoC designs for semiconductor products. Create verification plans and regression frameworks. Analyze coverage and close verification gaps.,Hyderabad,11-17 LPA
206,Clock Gating Implementation Engineer,Hardware,VLSI,Entry,"Clock Gating,Low Power,Liberty,Innovus,Timing",Implement clock gating for power reduction. Analyze switching activity and insertion points. Verify timing after clock gating.,Pune,4-6 LPA
207,Display Driver Engineer,Hardware,Firmware Engineer,Entry,"MIPI DSI,HDMI,Display Controllers,C,Embedded Linux",Develop display drivers for embedded systems. Interface with LCD and OLED panels. Debug display timing and color issues.,Bangalore,4-6 LPA
208,Electrical Systems Engineer,Hardware,Electrical Systems,Entry,"MATLAB,Simulink,Power Electronics,Control Systems,AutoCAD",Design electrical systems for industrial automation projects. Perform load calculations and circuit analysis. Create technical documentation and support field installations.,Pune,6-12 LPA
209,FPGA Design Engineer,Hardware,VLSI,Senior,"VHDL,Xilinx,Vivado,Timing Constraints,FPGA",Develop FPGA-based solutions for signal processing. Implement high-speed digital designs and IP cores. Perform simulation and hardware validation.,Chennai,10-16 LPA
210,Accelerometer Integration Engineer,Hardware,Embedded Systems,Entry,"MEMS,Accelerometer,I2C,SPI,Embedded C",Integrate MEMS accelerometers in wearable devices. Calibrate sensors and process motion data. Implement fall detection algorithms.,Chennai,4-6 LPA
211,Sensor Integration Engineer,Hardware,Embedded Systems,Entry,"IMU,GPS,Sensor Fusion,Kalman Filter,C++",Integrate sensors for navigation and positioning systems. Implement sensor fusion algorithms. Calibrate and validate sensor accuracy.,Pune,4-6 LPA
212,SysOps Engineer,Software,DevOps,Senior,"Linux,AWS,Monitoring,Scripting,Networking",Manage and maintain production Linux systems. Implement backup and recovery procedures. Monitor system performance and capacity.,Noida,9-15 LPA
213,Senior Data Engineer,Software,Data Engineer,Entry,"Python,AWS Glue,Redshift,dbt,SQL",Design data warehousing solutions on AWS platform. Implement data modeling and transformation logic. Optimize query performance for analytics workloads.,Bangalore,4-6 LPA
214,ETL Developer,Software,Data Engineer,Mid,"SQL,SSIS,Python,Oracle,Data Warehousing",Design and develop ETL processes for data integration. Transform and load data from multiple sources. Monitor and troubleshoot data pipeline failures.,Hyderabad,8-14 LPA
215,Electronic Packaging Engineer,Hardware,PCB Design,Mid,"Package Design,Thermal,Stress Analysis,JEDEC,Reliability",Design IC packages and module assemblies. Perform thermal and mechanical simulations. Validate package reliability.,Bangalore,9-15 LPA
216,Signal Processing Engineer,Hardware,Embedded Systems,Senior,"DSP,MATLAB,C,ARM,Algorithms",Implement digital signal processing algorithms on embedded platforms. Optimize real-time audio and video processing. Perform algorithm validation and benchmarking.,Bangalore,9-15 LPA
217,Infrastructure Automation Engineer,Software,DevOps,Senior,"Ansible,Python,Linux,AWS,CI/CD",Automate infrastructure provisioning and configuration management. Develop Ansible playbooks and roles. Implement infrastructure testing frameworks.,Noida,10-16 LPA
218,VLSI Design Engineer,Hardware,VLSI,Mid,"Verilog,SystemVerilog,Cadence,Synthesis,Timing Analysis",Design and verify digital circuits for ASIC development. Perform RTL coding and functional verification. Collaborate with physical design team for timing closure.,Hyderabad,9-15 LPA
219,Senior DevOps Engineer,Software,DevOps,Entry,"Azure,Kubernetes,Ansible,Python,GitLab CI",Architect cloud infrastructure for enterprise applications. Implement infrastructure as code and monitoring solutions. Lead DevOps transformation initiatives.,Bangalore,4-6 LPA
220,Schematic Design Engineer,Hardware,PCB Design,Entry,"OrCAD,Component Selection,Design Rules,Simulation,Documentation",Create detailed schematics for electronic products. Select components and verify design rules. Collaborate with layout and firmware teams.,Bangalore,4-6 LPA
221,Laravel Developer,Software,Backend,Senior,"PHP,Laravel,MySQL,Redis,REST API",Develop web applications using Laravel framework. Implement MVC architecture and migrations. Create RESTful APIs and authentication.,Bangalore,7-13 LPA
222,TypeScript Backend Developer,Software,Backend,Entry,"TypeScript,Node.js,NestJS,PostgreSQL,Docker",Develop strongly-typed backend services. Implement dependency injection and modules. Write comprehensive unit tests.,Bangalore,4-6 LPA
223,Microservices Developer,Software,Backend,Mid,"Java,Spring Cloud,Kafka,Docker,MySQL",Design and develop microservices architecture. Implement service discovery and config management. Handle distributed transactions.,Hyderabad,10-16 LPA
224,Mobile Backend Developer,Software,Backend,Senior,"Node.js,MongoDB,Socket.io,AWS,Redis",Build backend services for mobile applications. Implement real-time communication features. Design scalable database schemas.,Bangalore,9-15 LPA
225,Blockchain Developer,Software,Backend,Mid,"Solidity,Ethereum,Web3.js,Smart Contracts,Node.js",Develop smart contracts for blockchain applications. Implement DeFi protocols and NFT platforms. Audit and optimize contract gas costs.,Hyderabad,12-18 LPA
226,Hardware Test Engineer,Hardware,PCB Design,Mid,"Oscilloscope,Multimeter,Python,LabVIEW,Test Automation",Design and execute hardware validation test plans. Develop automated test scripts and fixtures. Document test results and failure analysis.,Noida,6-11 LPA
227,Full Stack Developer,Software,Full Stack,Senior,"Node.js,React,MongoDB,Express,JavaScript",Develop end-to-end web applications with modern technology stack. Implement RESTful APIs and integrate third-party services. Maintain code quality through testing and code reviews.,Noida,8-14 LPA
228,Hadoop Developer,Software,Data Engineer,Mid,"Hadoop,MapReduce,Hive,Java,HDFS",Develop MapReduce jobs for big data processing. Optimize Hive queries and partitioning strategies. Manage HDFS storage and replication.,Bangalore,10-16 LPA
229,Battery Management System Engineer,Hardware,Embedded Systems,Senior,"BMS,CAN Protocol,C,Lithium-ion,State Estimation",Design battery management systems for energy storage. Implement SOC and SOH estimation algorithms. Test and validate BMS functionality.,Pune,9-15 LPA
230,Analog Circuit Designer,Hardware,PCB Design,Senior,"SPICE,Cadence,Analog Layout,LDO,ADC",Design analog and mixed-signal circuits for sensing applications. Perform circuit simulations and prototype testing. Optimize power consumption and noise performance.,Hyderabad,10-16 LPA
231,Embedded Systems Engineer,Hardware,Embedded Systems,Entry,"C,ARM Cortex,RTOS,I2C,SPI",Develop firmware for IoT devices and embedded controllers. Interface with various sensors and actuators. Debug and optimize low-level system performance for resource-constrained environments.,Bangalore,4-6 LPA
232,Microservices Developer,Software,Backend,Mid,"Java,Spring Cloud,Kafka,Docker,MySQL",Design and develop microservices architecture. Implement service discovery and config management. Handle distributed transactions.,Hyderabad,10-16 LPA
233,Machine Learning Engineer,Software,Data Engineer,Senior,"Python,TensorFlow,Scikit-learn,Pandas,NumPy",Develop ML models for predictive analytics applications. Implement feature engineering and model optimization. Deploy models to production environments.,Bangalore,13-19 LPA
234,Spring Boot Developer,Software,Backend,Mid,"Java,Spring Boot,MySQL,Hibernate,REST",Develop microservices using Spring Boot framework. Implement JPA repositories and service layers. Configure security and logging.,Hyderabad,8-14 LPA
235,Senior React Developer,Software,Frontend,Senior,"React,TypeScript,Next.js,GraphQL,Tailwind CSS",Lead frontend development for enterprise applications. Implement complex UI components and state management. Optimize performance and code splitting.,Chennai,10-16 LPA
236,Full Stack Python Developer,Software,Full Stack,Senior,"Python,Django,React,PostgreSQL,AWS",Develop web platforms with Python and JavaScript. Implement user authentication and authorization. Deploy applications to cloud infrastructure.,Bangalore,10-16 LPA
237,Ktor Developer,Software,Backend,Senior,"Kotlin,Ktor,PostgreSQL,Coroutines,REST",Build asynchronous server applications with Ktor. Implement routing and content negotiation. Leverage Kotlin coroutines for concurrency.,Bangalore,9-15 LPA
238,Flutter Developer,Software,Frontend,Entry,"Flutter,Dart,Firebase,REST API,Provider",Develop cross-platform mobile apps using Flutter framework. Implement beautiful UI designs and animations. Integrate backend services and local storage.,Pune,4-6 LPA
239,Backend Engineer - Go,Software,Backend,Mid,"Go,gRPC,PostgreSQL,Kubernetes,Redis",Develop high-performance microservices in Go language. Implement concurrent programming patterns. Optimize API response times and throughput.,Noida,10-16 LPA
240,Sensor Integration Engineer,Hardware,Embedded Systems,Entry,"IMU,GPS,Sensor Fusion,Kalman Filter,C++",Integrate sensors for navigation and positioning systems. Implement sensor fusion algorithms. Calibrate and validate sensor accuracy.,Pune,4-6 LPA
241,Data Platform Engineer,Software,Data Engineer,Senior,"Python,Databricks,Delta Lake,Apache Spark,SQL",Build data lakehouse architecture for analytics. Implement data versioning and lineage tracking. Optimize cluster configurations and costs.,Bangalore,12-18 LPA
242,Low Power Design Engineer,Hardware,VLSI,Entry,"Low Power Design,Power Gating,DVFS,UPF,Analysis",Implement low power design techniques for SoCs. Create unified power format specifications. Analyze power consumption across modes.,Chennai,6-12 LPA
243,Express.js Developer,Software,Backend,Mid,"Node.js,Express,MongoDB,JWT,REST",Build RESTful APIs using Express framework. Implement middleware and error handling. Integrate authentication and session management.,Bangalore,7-13 LPA
244,Backend Engineer - Go,Software,Backend,Mid,"Go,gRPC,PostgreSQL,Kubernetes,Redis",Develop high-performance microservices in Go language. Implement concurrent programming patterns. Optimize API response times and throughput.,Noida,10-16 LPA
245,Angular Developer,Software,Frontend,Senior,"Angular,TypeScript,RxJS,NgRx,SCSS",Build enterprise applications using Angular framework. Implement reactive programming patterns. Create reusable components and services.,Chennai,7-12 LPA
246,Embedded Linux Developer,Hardware,Firmware Engineer,Entry,"Linux Kernel,Yocto,U-Boot,Device Tree,Bash",Port and customize embedded Linux distributions. Develop kernel modules and device drivers. Optimize boot time and system performance.,Chennai,4-6 LPA
247,Thermal Design Engineer,Hardware,Electrical Systems,Mid,"Thermal Analysis,CFD,Heat Sinks,ANSYS,Testing",Perform thermal analysis for electronic systems. Design cooling solutions and heat sinks. Validate thermal performance through testing.,Bangalore,9-15 LPA
248,Backend Engineer - Python,Software,Backend,Senior,"Python,Django,MySQL,Celery,Docker",Develop backend services for fintech applications. Implement secure payment processing workflows. Optimize database performance and handle high-traffic scenarios.,Bangalore,10-16 LPA
249,Ruby on Rails Developer,Software,Backend,Senior,"Ruby,Rails,PostgreSQL,Sidekiq,REST",Build web applications using Rails framework. Implement background job processing. Optimize database queries and caching.,Noida,8-14 LPA
250,Motor Control Engineer,Hardware,Electrical Systems,Entry,"FOC,BLDC,PMSM,Inverter Design,Embedded C",Design motor control algorithms for electric vehicles. Implement field-oriented control strategies. Test and calibrate motor controllers.,Bangalore,4-6 LPA
